"year","season","team","bans","ban_order","num_bans","ban_percentage","total_bans"
"2014","Summer","blueBans","Alistar",1,"10","12.82","78"
"2014","Summer","blueBans","Zilean",1,"9","11.54","78"
"2014","Summer","blueBans","Maokai",1,"7","8.97","78"
"2014","Summer","blueBans","Nidalee",1,"7","8.97","78"
"2014","Summer","blueBans","Rengar",1,"6","7.69","78"
"2014","Summer","blueBans","Fizz",1,"5","6.41","78"
"2014","Summer","blueBans","Yasuo",1,"4","5.13","78"
"2014","Summer","blueBans","Zed",1,"4","5.13","78"
"2014","Summer","blueBans","Thresh",1,"4","5.13","78"
"2014","Summer","blueBans","Twitch",1,"4","5.13","78"
"2014","Summer","blueBans","Rumble",1,"3","3.85","78"
"2014","Summer","blueBans","Lucian",1,"3","3.85","78"
"2014","Summer","blueBans","LeeSin",1,"2","2.56","78"
"2014","Summer","blueBans","Orianna",1,"2","2.56","78"
"2014","Summer","blueBans","Irelia",1,"2","2.56","78"
"2014","Summer","blueBans","Tristana",1,"1","1.28","78"
"2014","Summer","blueBans","Kayle",1,"1","1.28","78"
"2014","Summer","blueBans","Jinx",1,"1","1.28","78"
"2014","Summer","blueBans","Nami",1,"1","1.28","78"
"2014","Summer","blueBans","Ryze",1,"1","1.28","78"
"2014","Summer","blueBans","Syndra",1,"1","1.28","78"
"2014","Summer","blueBans","Alistar",2,"12","15.38","78"
"2014","Summer","blueBans","LeeSin",2,"8","10.26","78"
"2014","Summer","blueBans","Zilean",2,"7","8.97","78"
"2014","Summer","blueBans","Maokai",2,"6","7.69","78"
"2014","Summer","blueBans","Lucian",2,"4","5.13","78"
"2014","Summer","blueBans","Jayce",2,"4","5.13","78"
"2014","Summer","blueBans","Yasuo",2,"4","5.13","78"
"2014","Summer","blueBans","Syndra",2,"4","5.13","78"
"2014","Summer","blueBans","Rumble",2,"3","3.85","78"
"2014","Summer","blueBans","Rengar",2,"3","3.85","78"
"2014","Summer","blueBans","Janna",2,"3","3.85","78"
"2014","Summer","blueBans","Thresh",2,"2","2.56","78"
"2014","Summer","blueBans","Aatrox",2,"2","2.56","78"
"2014","Summer","blueBans","Irelia",2,"2","2.56","78"
"2014","Summer","blueBans","Nidalee",2,"2","2.56","78"
"2014","Summer","blueBans","TwistedFate",2,"2","2.56","78"
"2014","Summer","blueBans","Zed",2,"2","2.56","78"
"2014","Summer","blueBans","Lulu",2,"1","1.28","78"
"2014","Summer","blueBans","Kayle",2,"1","1.28","78"
"2014","Summer","blueBans","Kassadin",2,"1","1.28","78"
"2014","Summer","blueBans","Tristana",2,"1","1.28","78"
"2014","Summer","blueBans","JarvanIV",2,"1","1.28","78"
"2014","Summer","blueBans","Jinx",2,"1","1.28","78"
"2014","Summer","blueBans","Orianna",2,"1","1.28","78"
"2014","Summer","blueBans","Nami",2,"1","1.28","78"
"2014","Summer","blueBans","Ryze",3,"14","18.18","77"
"2014","Summer","blueBans","Maokai",3,"13","16.88","77"
"2014","Summer","blueBans","Rumble",3,"7","9.09","77"
"2014","Summer","blueBans","Thresh",3,"6","7.79","77"
"2014","Summer","blueBans","Zilean",3,"4","5.19","77"
"2014","Summer","blueBans","Khazix",3,"4","5.19","77"
"2014","Summer","blueBans","Alistar",3,"4","5.19","77"
"2014","Summer","blueBans","Janna",3,"3","3.90","77"
"2014","Summer","blueBans","Syndra",3,"3","3.90","77"
"2014","Summer","blueBans","Zed",3,"3","3.90","77"
"2014","Summer","blueBans","TwistedFate",3,"2","2.60","77"
"2014","Summer","blueBans","Twitch",3,"2","2.60","77"
"2014","Summer","blueBans","Jayce",3,"2","2.60","77"
"2014","Summer","blueBans","Lucian",3,"2","2.60","77"
"2014","Summer","blueBans","Tristana",3,"1","1.30","77"
"2014","Summer","blueBans","Fizz",3,"1","1.30","77"
"2014","Summer","blueBans","Gragas",3,"1","1.30","77"
"2014","Summer","blueBans","Irelia",3,"1","1.30","77"
"2014","Summer","blueBans","LeeSin",3,"1","1.30","77"
"2014","Summer","blueBans","Nami",3,"1","1.30","77"
"2014","Summer","blueBans","Aatrox",3,"1","1.30","77"
"2014","Summer","blueBans","Yasuo",3,"1","1.30","77"
"2014","Summer","redBans","Alistar",1,"16","20.51","78"
"2014","Summer","redBans","Zilean",1,"13","16.67","78"
"2014","Summer","redBans","Rengar",1,"10","12.82","78"
"2014","Summer","redBans","Maokai",1,"5","6.41","78"
"2014","Summer","redBans","Yasuo",1,"4","5.13","78"
"2014","Summer","redBans","Nidalee",1,"4","5.13","78"
"2014","Summer","redBans","Twitch",1,"3","3.85","78"
"2014","Summer","redBans","Zed",1,"3","3.85","78"
"2014","Summer","redBans","LeeSin",1,"3","3.85","78"
"2014","Summer","redBans","Fizz",1,"2","2.56","78"
"2014","Summer","redBans","Orianna",1,"2","2.56","78"
"2014","Summer","redBans","Rumble",1,"2","2.56","78"
"2014","Summer","redBans","Ryze",1,"2","2.56","78"
"2014","Summer","redBans","Thresh",1,"2","2.56","78"
"2014","Summer","redBans","Tristana",1,"2","2.56","78"
"2014","Summer","redBans","Khazix",1,"1","1.28","78"
"2014","Summer","redBans","Aatrox",1,"1","1.28","78"
"2014","Summer","redBans","Rammus",1,"1","1.28","78"
"2014","Summer","redBans","Syndra",1,"1","1.28","78"
"2014","Summer","redBans","Lulu",1,"1","1.28","78"
"2014","Summer","redBans","Zilean",2,"18","23.08","78"
"2014","Summer","redBans","Alistar",2,"17","21.79","78"
"2014","Summer","redBans","LeeSin",2,"10","12.82","78"
"2014","Summer","redBans","Ryze",2,"9","11.54","78"
"2014","Summer","redBans","Maokai",2,"6","7.69","78"
"2014","Summer","redBans","Nidalee",2,"4","5.13","78"
"2014","Summer","redBans","Zed",2,"3","3.85","78"
"2014","Summer","redBans","Thresh",2,"2","2.56","78"
"2014","Summer","redBans","Aatrox",2,"1","1.28","78"
"2014","Summer","redBans","Fizz",2,"1","1.28","78"
"2014","Summer","redBans","Tristana",2,"1","1.28","78"
"2014","Summer","redBans","TwistedFate",2,"1","1.28","78"
"2014","Summer","redBans","Yasuo",2,"1","1.28","78"
"2014","Summer","redBans","Jayce",2,"1","1.28","78"
"2014","Summer","redBans","Elise",2,"1","1.28","78"
"2014","Summer","redBans","Kassadin",2,"1","1.28","78"
"2014","Summer","redBans","Irelia",2,"1","1.28","78"
"2014","Summer","redBans","Alistar",3,"14","18.18","77"
"2014","Summer","redBans","Zilean",3,"11","14.29","77"
"2014","Summer","redBans","Maokai",3,"8","10.39","77"
"2014","Summer","redBans","Lucian",3,"8","10.39","77"
"2014","Summer","redBans","LeeSin",3,"5","6.49","77"
"2014","Summer","redBans","Ryze",3,"5","6.49","77"
"2014","Summer","redBans","Zed",3,"4","5.19","77"
"2014","Summer","redBans","Thresh",3,"3","3.90","77"
"2014","Summer","redBans","Khazix",3,"3","3.90","77"
"2014","Summer","redBans","Fizz",3,"2","2.60","77"
"2014","Summer","redBans","Syndra",3,"2","2.60","77"
"2014","Summer","redBans","Twitch",3,"2","2.60","77"
"2014","Summer","redBans","Janna",3,"2","2.60","77"
"2014","Summer","redBans","Yasuo",3,"1","1.30","77"
