"x_pos","y_pos","num_kills"
103,8,"113"
105,8,"106"
104,8,"99"
90,83,"93"
42,140,"90"
51,106,"83"
140,45,"83"
52,106,"82"
140,44,"82"
65,61,"79"
43,140,"77"
57,65,"75"
52,105,"74"
106,8,"73"
140,42,"71"
52,104,"71"
101,8,"70"
102,8,"69"
66,73,"69"
38,93,"69"
47,89,"68"
56,64,"68"
109,9,"67"
48,80,"66"
91,84,"66"
94,87,"66"
53,105,"66"
89,82,"65"
106,9,"64"
48,99,"63"
52,103,"63"
108,9,"63"
37,93,"63"
48,82,"62"
54,106,"62"
83,69,"61"
48,83,"61"
82,72,"61"
58,66,"61"
75,80,"61"
59,62,"61"
44,101,"60"
44,140,"60"
48,98,"60"
41,140,"60"
51,104,"59"
65,72,"59"
60,63,"59"
47,97,"59"
140,43,"59"
51,105,"58"
53,104,"58"
83,74,"58"
49,83,"58"
53,106,"58"
51,102,"58"
48,87,"57"
86,53,"57"
64,64,"57"
45,102,"57"
53,107,"57"
62,90,"56"
8,105,"56"
40,103,"56"
101,9,"56"
92,85,"56"
47,104,"55"
107,9,"55"
66,74,"55"
82,71,"55"
46,102,"55"
64,61,"55"
51,103,"55"
96,102,"54"
50,101,"54"
48,81,"54"
44,99,"53"
69,66,"53"
45,140,"53"
65,71,"53"
36,90,"53"
41,102,"53"
74,67,"53"
58,62,"53"
86,77,"52"
42,97,"52"
63,61,"52"
89,88,"52"
71,96,"52"
51,85,"51"
69,68,"51"
62,61,"51"
54,104,"51"
64,60,"51"
59,67,"51"
44,91,"51"
89,81,"50"
65,69,"50"
64,71,"50"
49,100,"50"
54,105,"50"
46,95,"50"
45,101,"50"
62,101,"50"
8,106,"50"
48,100,"50"
49,84,"50"
128,131,"50"
50,106,"50"
71,76,"50"
55,85,"50"
52,107,"50"
63,80,"49"
46,96,"49"
52,85,"49"
128,132,"49"
52,91,"49"
39,104,"49"
60,94,"49"
82,73,"49"
42,101,"49"
42,99,"49"
66,72,"49"
63,91,"49"
42,98,"49"
52,92,"49"
81,73,"49"
50,84,"49"
8,104,"49"
88,86,"49"
38,106,"49"
47,102,"49"
93,86,"49"
51,107,"49"
8,102,"49"
87,54,"49"
76,80,"49"
85,88,"49"
47,95,"48"
74,78,"48"
72,66,"48"
50,102,"48"
140,41,"48"
100,8,"48"
64,69,"48"
46,94,"48"
81,72,"48"
66,62,"48"
86,88,"48"
45,99,"48"
55,63,"48"
61,63,"48"
16,20,"48"
46,104,"48"
48,88,"48"
45,100,"48"
83,76,"48"
60,62,"48"
51,94,"48"
39,94,"47"
114,56,"47"
50,105,"47"
110,55,"47"
53,103,"47"
46,97,"47"
110,9,"47"
8,107,"47"
63,60,"47"
44,98,"47"
84,81,"47"
67,70,"47"
49,101,"47"
57,93,"47"
91,88,"47"
54,92,"46"
90,87,"46"
65,65,"46"
49,103,"46"
77,80,"46"
45,95,"46"
50,95,"46"
58,84,"46"
48,105,"46"
72,68,"46"
53,91,"46"
48,97,"46"
84,89,"46"
8,108,"46"
48,104,"46"
58,59,"46"
66,63,"46"
108,55,"46"
59,85,"46"
59,68,"46"
87,90,"46"
71,67,"46"
77,78,"46"
62,67,"46"
68,71,"46"
62,102,"46"
85,90,"45"
67,63,"45"
75,67,"45"
38,94,"45"
72,73,"45"
67,69,"45"
68,73,"45"
61,95,"45"
52,90,"45"
61,57,"45"
61,106,"45"
49,102,"45"
47,105,"45"
56,74,"45"
140,46,"45"
43,101,"45"
50,94,"45"
67,73,"45"
43,100,"45"
8,103,"45"
84,87,"44"
47,103,"44"
111,9,"44"
83,75,"44"
95,101,"44"
74,60,"44"
99,67,"44"
51,95,"44"
80,86,"44"
98,64,"44"
11,103,"44"
88,93,"44"
92,74,"44"
48,106,"44"
60,66,"44"
48,94,"44"
73,67,"44"
52,102,"44"
49,104,"44"
84,84,"44"
43,98,"44"
66,71,"44"
48,102,"44"
76,81,"44"
48,101,"44"
84,79,"44"
46,140,"44"
131,128,"44"
47,72,"44"
50,100,"44"
37,108,"44"
75,78,"44"
70,67,"44"
135,130,"43"
128,17,"43"
43,93,"43"
52,86,"43"
58,61,"43"
64,62,"43"
83,87,"43"
74,79,"43"
87,87,"43"
57,88,"43"
81,76,"43"
72,72,"43"
84,83,"43"
72,75,"43"
88,82,"43"
78,80,"43"
88,81,"43"
40,94,"43"
69,72,"43"
86,85,"43"
89,91,"43"
85,57,"43"
47,91,"43"
41,100,"43"
37,110,"43"
47,82,"43"
63,62,"43"
50,107,"43"
61,72,"43"
48,108,"43"
99,65,"43"
74,75,"43"
62,65,"43"
82,101,"43"
88,54,"43"
52,75,"43"
97,63,"43"
140,47,"43"
68,62,"43"
46,76,"42"
111,58,"42"
67,62,"42"
46,93,"42"
86,89,"42"
82,87,"42"
71,74,"42"
47,94,"42"
84,78,"42"
60,49,"42"
127,32,"42"
84,75,"42"
48,74,"42"
49,105,"42"
51,101,"42"
85,87,"42"
82,82,"42"
38,105,"42"
81,83,"42"
109,55,"42"
67,114,"42"
63,71,"42"
47,96,"42"
45,97,"42"
131,21,"42"
54,94,"42"
73,75,"42"
37,109,"42"
68,65,"42"
81,74,"42"
53,102,"42"
82,74,"42"
82,80,"42"
88,87,"41"
40,139,"41"
40,95,"41"
92,88,"41"
42,94,"41"
88,89,"41"
46,101,"41"
60,70,"41"
65,63,"41"
63,63,"41"
79,80,"41"
69,69,"41"
40,102,"41"
47,93,"41"
39,96,"41"
47,81,"41"
100,59,"41"
48,96,"41"
39,103,"41"
100,60,"41"
91,85,"41"
81,81,"41"
99,68,"41"
93,87,"41"
63,68,"41"
87,82,"41"
57,84,"41"
78,72,"41"
95,88,"41"
139,43,"41"
86,87,"41"
80,77,"41"
61,62,"41"
100,67,"41"
41,101,"41"
83,101,"41"
70,68,"41"
82,77,"41"
68,72,"40"
73,79,"40"
45,139,"40"
50,96,"40"
63,66,"40"
8,109,"40"
78,75,"40"
63,70,"40"
69,63,"40"
70,69,"40"
71,95,"40"
38,102,"40"
64,66,"40"
42,100,"40"
64,79,"40"
112,9,"40"
66,69,"40"
57,94,"40"
54,103,"40"
47,90,"40"
44,97,"40"
70,72,"40"
44,137,"40"
47,76,"40"
46,103,"40"
38,111,"40"
80,75,"40"
70,70,"40"
99,91,"40"
46,100,"40"
44,94,"40"
42,93,"40"
77,79,"40"
71,66,"40"
80,74,"40"
80,76,"40"
83,88,"40"
37,92,"40"
89,89,"40"
94,100,"40"
66,65,"40"
62,109,"40"
39,95,"40"
47,98,"40"
86,84,"40"
41,96,"40"
51,46,"40"
54,88,"40"
83,73,"40"
82,88,"40"
43,94,"40"
61,105,"40"
84,80,"40"
66,64,"40"
47,106,"40"
62,66,"40"
65,64,"39"
79,77,"39"
43,95,"39"
96,63,"39"
65,67,"39"
78,79,"39"
82,85,"39"
74,77,"39"
61,58,"39"
40,100,"39"
50,85,"39"
37,95,"39"
80,82,"39"
72,80,"39"
73,68,"39"
58,52,"39"
80,79,"39"
67,72,"39"
50,91,"39"
45,98,"39"
69,70,"39"
38,139,"39"
100,61,"39"
128,130,"39"
81,71,"39"
137,32,"39"
47,100,"39"
44,93,"39"
48,92,"39"
59,61,"39"
110,39,"39"
130,19,"39"
86,82,"39"
103,11,"39"
53,48,"39"
73,71,"39"
19,17,"39"
66,113,"39"
107,55,"39"
68,114,"39"
52,95,"39"
56,87,"39"
128,133,"39"
92,87,"39"
75,79,"39"
75,83,"38"
58,93,"38"
62,100,"38"
53,88,"38"
80,73,"38"
70,65,"38"
114,18,"38"
78,76,"38"
61,94,"38"
62,89,"38"
73,77,"38"
39,139,"38"
45,96,"38"
65,81,"38"
135,26,"38"
68,68,"38"
82,76,"38"
46,89,"38"
75,76,"38"
45,91,"38"
103,53,"38"
84,64,"38"
49,86,"38"
86,91,"38"
111,57,"38"
54,75,"38"
82,75,"38"
86,51,"38"
68,63,"38"
95,54,"38"
49,95,"38"
71,65,"38"
139,41,"38"
51,93,"38"
82,63,"38"
109,42,"38"
83,86,"38"
108,8,"38"
80,72,"38"
50,104,"38"
77,69,"38"
98,73,"38"
86,86,"38"
81,80,"38"
51,86,"38"
33,84,"38"
94,55,"38"
99,63,"38"
115,19,"38"
37,107,"38"
85,67,"38"
136,131,"38"
51,108,"38"
55,94,"38"
102,9,"38"
89,77,"38"
39,112,"38"
82,84,"38"
75,77,"37"
77,76,"37"
87,84,"37"
54,85,"37"
107,8,"37"
78,70,"37"
100,106,"37"
48,79,"37"
19,16,"37"
134,128,"37"
85,83,"37"
128,129,"37"
40,96,"37"
9,107,"37"
48,85,"37"
54,90,"37"
81,84,"37"
86,54,"37"
45,94,"37"
54,62,"37"
32,128,"37"
46,139,"37"
64,112,"37"
49,89,"37"
19,15,"37"
36,88,"37"
53,90,"37"
46,90,"37"
92,86,"37"
77,85,"37"
44,92,"37"
56,94,"37"
81,66,"37"
83,68,"37"
49,94,"37"
60,83,"37"
64,68,"37"
47,99,"37"
60,61,"37"
129,129,"37"
94,89,"37"
47,140,"37"
40,98,"37"
89,83,"37"
69,73,"37"
90,56,"37"
70,73,"37"
41,94,"37"
61,61,"37"
86,52,"37"
57,92,"37"
114,19,"37"
45,93,"37"
86,83,"37"
62,96,"37"
91,74,"37"
94,56,"37"
58,60,"37"
83,79,"37"
99,66,"37"
89,95,"37"
64,67,"37"
84,85,"37"
43,97,"37"
112,11,"37"
76,79,"37"
81,82,"37"
84,67,"37"
41,139,"37"
85,58,"37"
38,104,"37"
37,106,"36"
100,85,"36"
63,88,"36"
44,95,"36"
113,18,"36"
109,44,"36"
89,96,"36"
51,91,"36"
70,66,"36"
88,99,"36"
60,65,"36"
50,108,"36"
139,38,"36"
46,99,"36"
90,73,"36"
60,64,"36"
87,85,"36"
55,90,"36"
100,50,"36"
61,60,"36"
40,97,"36"
83,80,"36"
68,67,"36"
64,70,"36"
81,79,"36"
46,77,"36"
47,85,"36"
81,70,"36"
75,66,"36"
61,90,"36"
47,101,"36"
54,87,"36"
48,89,"36"
71,68,"36"
39,115,"36"
121,50,"36"
59,55,"36"
53,93,"36"
67,74,"36"
64,81,"36"
49,96,"36"
86,80,"36"
83,84,"36"
62,81,"36"
48,107,"36"
46,92,"36"
18,13,"36"
90,90,"36"
56,93,"36"
60,68,"36"
49,107,"36"
81,100,"36"
62,64,"36"
50,92,"36"
75,73,"36"
62,94,"36"
77,74,"36"
84,68,"36"
75,75,"36"
72,71,"36"
73,69,"36"
127,129,"36"
95,63,"36"
77,72,"36"
135,32,"36"
139,37,"36"
124,14,"36"
95,62,"36"
77,83,"36"
79,82,"35"
8,101,"35"
72,96,"35"
87,88,"35"
45,92,"35"
62,68,"35"
50,103,"35"
72,69,"35"
59,51,"35"
53,92,"35"
49,93,"35"
48,103,"35"
79,72,"35"
91,87,"35"
39,138,"35"
133,37,"35"
53,94,"35"
138,35,"35"
65,82,"35"
42,95,"35"
80,84,"35"
61,64,"35"
85,54,"35"
51,90,"35"
58,91,"35"
40,101,"35"
71,62,"35"
89,74,"35"
61,68,"35"
81,75,"35"
66,70,"35"
42,96,"35"
90,92,"35"
7,104,"35"
135,28,"35"
98,103,"35"
140,49,"35"
138,34,"35"
72,70,"35"
110,53,"35"
76,77,"35"
83,100,"35"
135,129,"35"
75,70,"35"
67,68,"35"
70,95,"35"
52,94,"35"
