tag,full
FAC,Fnatic Academy
FG,Flash Gaming
Winners,Winners
KDM,Kongdoo Monster
Longzhu,Longzhu Gaming
SIN,Splyce
RGC,Royal Never Give Up
ahq,ahq e-Sports Club
ESC,ESC Ever
MVP,MVP
VIT,Team Vitality
NV,Team EnVyUs
ISG,Isurus Gaming
JTM,J Team
TL,Team Liquid
DIG,Dignitas
IMG,Immortals
IMT,Immortals
ORD,Order
KOO,KOO Tigers
BC,Bombers
ROX,ROX Tigers
TLA,Team Liquid Academy
AFR,Afreeca Freecs
GMB,Gambit Esports
CNB,CNB e-Sports Club
YC,Young Generation
PRG,ProGaming Esports
MC,Machi Esports
SUP,SuperMassive eSports
BPI,Banco do Brasil eSports
JAG,Jin Air Green Wings
TPA,Taipei Assassins
CGE,Challenger Gaming
EL,Elements
TIP,Team Impulse
P3P,Pain Gaming
EG,Evil Geniuses
JSA,J Team Academy
LYN,Lyon Gaming
AFs,Afreeca Freecs
P1,Phoenix1
TRI,Trifecta
JT,J Team
LK,Legacy Esports
Mac,Machi Esports
COW,Team Coast
CRW,The Crew
LGD,LGD Gaming
INF,Infinity Esports
TT,Top Esports
NH,Najin e-mFire
SK,SK Gaming
NJF,Najin Black Sword
G2,G2 Esports
EMP,Team Empire
MSF,Misfits Gaming
OMG,OMG
ROC,Roccat
CREW,The Crew
ONE,ONE Team
XG,Xtreme Gaming
CJ,CJ Entus
SKT,SK Telecom T1
RED,RED Canids
HWA,HWA Gaming
PRO,ProGaming Esports
SZ,Snake eSports
Prime,Prime
REM,Remix eSports
LOG,Longzhu Gaming
HKE,Hong Kong Esports
HMA,Hong Kong Attitude
GIA,Giants Gaming
Xenics,Xenics Storm
DF,Dark Passage
NWS,Najin White Shield
TM,Team MRN
DLY,Delicious
GAL,Galatasaray Esports
CST,Team Coast
OPT,OpTic Gaming
X5,XDG Gaming
GRX,G-Rex
M17,Machi eSports
GlA,Giants Gaming
WOR,World Elite
SSG,Samsung Galaxy
EEW,Ever8 Winners
NIP,Ninjas in Pyjamas
REN,Renegades
QG,QG Reapers
KST,Kongdoo Monster
DFM,DetonatioN FocusMe
EDG,EDward Gaming
HLN,Helios
FW,Flash Wolves
VS,Vici Gaming
SPY,Splyce
GS,Golden Guardians
BE,Beyond Gaming
SSB,Samsung Blue
H2K,H2K Gaming
FLY,FlyQuest
USG,Unsold Stuff Gaming
BGG,Big Gods
JST,J Team
AS,Astral Authority
LGS,LGD Gaming
17A,17Gaming
DP,Dark Passage
SBK,Sandbox Gaming
VP,Virtus.pro
JTH,J Team
MM,Machi Esports
HKA,Hong Kong Attitude
DD,Dignitas EU
HKES,Hong Kong Esports
KZ,Kingzone DragonX
AE,Avant Garde
bbq,bbq Olivers
ITZ,INTZ e-Sports
CHF,Chiefs Esports Club
S04,FC Schalke 04 Esports
BJK,Beşiktaş Esports
NJE,Najin e-mFire
NME,NME Esports
T8,Team 8
MIL,Millenium
IFG,Invictus Gaming
FB,Fenerbahçe Esports
EVR,Ever8 Winners
100,100 Thieves
TY,Team Yuhi
VFK,Vega Squadron
LMQ,LMQ
DW,DWG KIA
PNG,Pain Gaming
KLG,Kaos Latin Gamers
C9,Cloud9
PDS,Phong Vũ Buffalo
OHM,OHM
RNG,Royal Never Give Up
TPB,Taipei Assassins
VK,Vici Gaming
WFX,Winterfox
OG,Origen
D9,Dignitas
RJ,Rostelcom
AHQ,ahq e-Sports Club
LGT,Legacy Esports
CJE,CJ Entus
SKP,SK Telecom T1
CRJ,Counter Logic Gaming
COL,CompLexity Gaming
GET,GeT_Right's Team
SCW,Samsung White
CLK,Cloud9
GAM,GAM Esports
HAF,Hafnet e-Sports
MYM,MeetYourMakers
ZTG,Zhongshan Gaming
ANC,Anorthosis Esports
LGC,Legacy Esports
APX,Apex Gaming
KT,KT Rolster
CA,Cloud9 Academy
M19,M19
RBE,Red Bulls
AUR,Aurora Gaming
GV,Gravity
MKZ,Misfits Gaming
KSV,KSV eSports
RG,Rift Rivals
F5,F5 Esports
KBM,KaBuM! e-Sports
yoeFW,yoe Flash Wolves
IG,Invictus Gaming
UOL,Unicorns Of Love
DH,Dark Passage
OPK,Optic Gaming
MSE,Machi eSports
ALL,Alliance
7h,7th Heaven
MAD,MAD Lions
RBT,Raise Your Edge Gaming
GG,Golden Guardians
CW,Copenhagen Wolves
NR1,NR1 Esports
ANX,Albus Nox Luna
RPG,Rostelcom Gaming
FOX,Echo Fox
SSW,Samsung White
NRG,NRG Esports
FNC,Fnatic
FNA,Fnatic Academy
CG,Clutch Gaming
ZONE,Gaming Zone
kt,KT Rolster
IM,Invictus Gaming
TRC,Team Roccat
SHR,Star Horn Royal Club
VEG,Vega Squadron
TDK,Team Dragon Knights
WS,Wildcard Series
EMF,EMF
AF,Afreeca Freecs
EUN,EUnited
FSN,Fnatic Rising
g3x,g3x
WE,Team WE
B2K,Born to Kill
TSM,Team SoloMid
C9C,Cloud9 Challenger
MFA,Misfits Academy
HR,HellRaisers
A,Alliance
LZ,Longzhu Gaming
CLG,Counter Logic Gaming
GCU,GCU
AV,Astralis
NGU,Natus Vincere
FH,Team Flash
H2k,H2K Gaming
